SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
394,65951,342,65951,9,794,22,794,600,593
1264,209286,936,209286,8,805,29,805,604,597
359,62463,345,62463,10,856,37,856,600,617
495,83579,391,83579,1,836,21,836,602,567
139,29836,168,29836,8,799,27,799,603,588
422,80820,456,80820,3,802,26,802,602,590
580,107634,771,107634,10,860,36,860,600,630
914,178202,1217,178202,5,777,22,777,600,602
189,28821,142,28821,6,844,23,844,603,630
1364,204822,1009,204822,9,779,22,779,602,579
236,40357,228,40357,7,791,29,791,604,612
106,23521,131,23521,8,822,40,822,601,620
314,65407,305,65407,7,797,16,797,600,561
283,61198,358,61198,11,855,20,855,602,591
577,104081,656,104081,3,790,29,790,600,591
1437,210647,1274,210647,5,766,24,766,604,582
256,42935,285,42935,6,812,18,812,602,582
553,135024,618,135024,7,792,17,792,600,561
463,65180,330,65180,7,791,28,791,605,593
241,36346,232,36346,4,765,22,765,605,569
484,81031,516,81031,3,787,26,787,601,564
519,72552,326,72552,3,796,16,796,603,576
434,87675,486,87675,4,800,21,800,605,605
318,65216,434,65216,3,763,24,763,600,597
503,108440,622,108440,5,784,18,784,604,576
395,49630,242,49630,4,824,20,824,602,568
840,136836,858,136836,2,793,26,793,600,614
522,117466,628,117466,6,801,27,801,600,590
526,84263,348,84263,5,756,16,756,602,570
404,96508,477,96508,8,828,22,828,600,558
432,87530,377,87530,4,787,23,787,600,591
340,67451,480,67451,7,777,21,777,600,614
763,126581,821,126581,7,829,27,829,604,608
