SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled,SN HIV+,CN HIV+
318,159347,17,159347,8,804,6,804,603,91,274,75
286,149580,16,149580,6,807,5,807,603,86,302,74
219,135468,30,135468,2,815,1,815,602,94,260,79
85,58853,15,58853,5,842,4,842,605,95,265,83
107,50214,8,50214,5,768,3,768,602,99,263,81
119,95406,15,95406,3,800,2,800,601,86,261,75
119,62121,9,62121,3,842,3,842,604,98,277,79
231,107215,10,107215,7,772,1,772,605,76,295,68
138,82151,15,82151,8,767,7,767,605,114,269,89
385,157785,20,157785,3,828,10,828,600,104,269,86
1905,725812,91,725812,5,830,4,830,601,96,274,78
104,65951,10,65951,2,794,3,794,602,92,278,78
354,209286,46,209286,3,805,6,805,605,106,260,88
111,62463,12,62463,3,856,5,856,605,102,282,79
159,83579,6,83579,8,836,1,836,601,82,285,74
73,29836,2,29836,6,799,5,799,600,117,286,88
140,80820,18,80820,6,802,5,802,602,102,269,81
170,107634,6,107634,4,860,6,860,603,104,261,81
367,178202,33,178202,0,777,8,777,602,97,292,81
38,28821,3,28821,7,844,1,844,603,89,282,78
413,204822,28,204822,5,779,0,779,601,85,290,72
79,40357,9,40357,5,791,3,791,603,92,272,77
56,23521,3,23521,4,822,6,822,603,88,293,75
111,65407,10,65407,6,797,2,797,602,95,269,75
148,61198,11,61198,5,855,5,855,602,97,294,83
193,104081,15,104081,5,790,6,790,605,84,279,76
431,210647,45,210647,7,766,4,766,605,92,265,80
65,42935,3,42935,4,812,5,812,601,88,269,74
185,135024,16,135024,6,792,3,792,604,95,283,74
139,65180,6,65180,8,791,4,791,602,82,268,73
57,36346,8,36346,2,765,3,765,605,93,265,75
153,81031,15,81031,3,787,5,787,600,91,259,77
134,72552,9,72552,7,796,4,796,604,94,289,74
215,87675,5,87675,6,800,3,800,601,90,283,76
80,65216,4,65216,2,763,2,763,604,91,254,75
215,108440,15,108440,7,784,5,784,600,98,284,84
96,49630,4,49630,1,824,0,824,603,89,267,70
163,136836,17,136836,5,793,2,793,600,100,251,82
185,117466,8,117466,4,801,2,801,604,95,264,76
199,84263,28,84263,2,756,1,756,602,87,285,73
174,96508,19,96508,3,828,1,828,600,81,263,72
112,87530,27,87530,5,787,5,787,602,99,269,87
140,67451,7,67451,1,777,3,777,601,90,268,69
262,126581,9,126581,5,829,0,829,601,85,274,74
107,64174,10,64174,3,847,4,847,604,85,297,73
86,48762,3,48762,3,826,1,826,603,96,254,76
305,202130,24,202130,6,800,2,800,601,94,270,75
223,125184,26,125184,3,778,4,778,604,86,276,73
216,116766,15,116766,9,836,2,836,604,98,292,75
249,127776,8,127776,2,790,1,790,605,84,253,72
212,145497,18,145497,3,808,3,808,601,92,239,74
244,235445,22,235445,5,837,8,837,603,104,244,84
242,141985,23,141985,2,769,4,769,600,102,255,89
177,72823,11,72823,6,780,5,780,602,94,287,75
342,180370,29,180370,6,836,3,836,600,98,276,79
179,87296,10,87296,3,813,3,813,601,81,272,75
162,94811,14,94811,2,788,6,788,605,109,276,92
161,66295,10,66295,6,820,5,820,605,93,259,75
144,80609,16,80609,3,822,5,822,602,89,277,80
165,81801,15,81801,4,822,3,822,601,95,264,77
251,165512,10,165512,3,821,0,821,604,82,270,69
133,62578,8,62578,2,785,4,785,601,85,257,74
81,55330,10,55330,5,802,3,802,602,88,277,77
320,113661,23,113661,4,829,3,829,605,101,274,74
198,97797,12,97797,6,859,1,859,601,82,262,71
44,44905,8,44905,7,811,4,811,605,100,262,75
69,45209,6,45209,8,819,1,819,600,93,271,76
161,103551,9,103551,3,829,6,829,603,90,260,75
136,85702,18,85702,3,760,1,760,602,95,267,80
243,102438,15,102438,4,833,4,833,604,89,269,71
